origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '13:24', 'arrive_time': '23:56', 'flight_numbers': 'DL 2383 / DL 1602', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 572, 'duration_display': '9h 32m', 'segments': [{'origin': 'SJC', 'destination': 'MSP', 'depart_time': '13:24', 'arrive_time': '18:58', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 214}, {'origin': 'MSP', 'destination': 'FCA', 'depart_time': '21:58', 'arrive_time': '23:56', 'airline': 'DL', 'flight_number': '1602', 'aircraft': 'Airbus A321', 'duration_minutes': 178}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,13:24,23:56,DL 2383 / DL 1602,DL,1,572,9h 32m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,13:24,23:56,DL 2383 / DL 1602,DL,economy,1,cash,fli,,715.0,715.0,USD,,715.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,47.67,50.0,0.0,862.67,late arrival,1,True,,572,9h 32m,USD 715.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1260 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,17:12,22:53,DL 1260 / DL 1464,DL,1,281,4h 41m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,17:12,22:53,DL 1260 / DL 1464,DL,economy,1,cash,fli,,815.0,815.0,USD,,815.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,888.42,,9,False,,281,4h 41m,USD 815.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '13:24', 'arrive_time': '23:56', 'flight_numbers': 'DL 2383 / DL 1602', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 572, 'duration_display': '9h 32m', 'segments': [{'origin': 'SJC', 'destination': 'MSP', 'depart_time': '13:24', 'arrive_time': '18:58', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 214}, {'origin': 'MSP', 'destination': 'FCA', 'depart_time': '21:58', 'arrive_time': '23:56', 'airline': 'DL', 'flight_number': '1602', 'aircraft': 'Airbus A321', 'duration_minutes': 178}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,13:24,23:56,DL 2383 / DL 1602,DL,1,572,9h 32m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,13:24,23:56,DL 2383 / DL 1602,DL,economy,1,cash,fli,,767.0,767.0,USD,,767.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,47.67,50.0,0.0,914.67,late arrival,2,False,,572,9h 32m,USD 767.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '11:09', 'flight_numbers': 'DL 1314 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 249, 'duration_display': '4h 9m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1314', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,06:00,11:09,DL 1314 / DL 2813,DL,1,249,4h 9m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,06:00,11:09,DL 1314 / DL 2813,DL,economy,1,cash,fli,,815.0,815.0,USD,,815.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.75,50.0,0.0,935.75,early departure,5,False,,249,4h 9m,USD 815.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1260 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,17:12,22:53,DL 1260 / DL 1464,DL,1,281,4h 41m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,17:12,22:53,DL 1260 / DL 1464,DL,economy,1,cash,fli,,867.0,867.0,USD,,867.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,940.42,,10,False,,281,4h 41m,USD 867.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '11:09', 'flight_numbers': 'DL 1314 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 249, 'duration_display': '4h 9m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1314', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,06:00,11:09,DL 1314 / DL 2813,DL,1,249,4h 9m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,06:00,11:09,DL 1314 / DL 2813,DL,economy,1,cash,fli,,867.0,867.0,USD,,867.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.75,50.0,0.0,987.75,early departure,6,False,,249,4h 9m,USD 867.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '13:24', 'arrive_time': '23:56', 'flight_numbers': 'DL 2383 / DL 1602', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 572, 'duration_display': '9h 32m', 'segments': [{'origin': 'SJC', 'destination': 'MSP', 'depart_time': '13:24', 'arrive_time': '18:58', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 214}, {'origin': 'MSP', 'destination': 'FCA', 'depart_time': '21:58', 'arrive_time': '23:56', 'airline': 'DL', 'flight_number': '1602', 'aircraft': 'Airbus A321', 'duration_minutes': 178}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,13:24,23:56,DL 2383 / DL 1602,DL,1,572,9h 32m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,13:24,23:56,DL 2383 / DL 1602,DL,economy,1,cash,fli,,841.0,841.0,USD,,841.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,47.67,50.0,0.0,988.67,late arrival,3,False,,572,9h 32m,USD 841.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '13:24', 'arrive_time': '23:56', 'flight_numbers': 'DL 2383 / DL 1602', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 572, 'duration_display': '9h 32m', 'segments': [{'origin': 'SJC', 'destination': 'MSP', 'depart_time': '13:24', 'arrive_time': '18:58', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 214}, {'origin': 'MSP', 'destination': 'FCA', 'depart_time': '21:58', 'arrive_time': '23:56', 'airline': 'DL', 'flight_number': '1602', 'aircraft': 'Airbus A321', 'duration_minutes': 178}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,13:24,23:56,DL 2383 / DL 1602,DL,1,572,9h 32m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,13:24,23:56,DL 2383 / DL 1602,DL,economy,1,cash,fli,,841.0,841.0,USD,,841.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,47.67,50.0,0.0,988.67,late arrival,4,False,,572,9h 32m,USD 841.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1260 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,17:12,22:53,DL 1260 / DL 1464,DL,1,281,4h 41m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,17:12,22:53,DL 1260 / DL 1464,DL,economy,1,cash,fli,,941.0,941.0,USD,,941.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1014.42,,11,False,,281,4h 41m,USD 941.00,
SJC,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1260 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-04,17:12,22:53,DL 1260 / DL 1464,DL,1,281,4h 41m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,17:12,22:53,DL 1260 / DL 1464,DL,economy,1,cash,fli,,941.0,941.0,USD,,941.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1014.42,,12,False,,281,4h 41m,USD 941.00,
